desc,id,label,syn,syn_typ,syn_typ_id
"A memory regulatory T cell with phenotype CD4-positive, CD25-positive, CD127lo, CCR4-positive, and CD45RO-positive.",CL:0001046,memory CCR4-positive regulatory T cell,memory CCR4-positive regulatory T-cell,exact,4
"A memory regulatory T cell with phenotype CD4-positive, CD25-positive, CD127lo, CCR4-positive, and CD45RO-positive.",CL:0001046,memory CCR4-positive regulatory T cell,memory CCR4-positive regulatory T lymphocyte,exact,4
"A memory regulatory T cell with phenotype CD4-positive, CD25-positive, CD127lo, CCR4-positive, and CD45RO-positive.",CL:0001046,memory CCR4-positive regulatory T cell,memory CCR4-positive regulatory T cell,label,5
"A memory regulatory T cell with phenotype CD4-positive, CD25-positive, CD127lo, CCR4-positive, and CD45RO-positive.",CL:0001046,memory CCR4-positive regulatory T cell,memory CCR4+ Treg,exact,4
A mature alpha-beta T cell of a distinct lineage that bears natural killer markers and a T cell receptor specific for a limited set of ligands. NK T cells have activation and regulatory roles particularly early in an immune response.,CL:0000814,mature NK T cell,mature natural killer T-lymphocyte,exact,4
A mature alpha-beta T cell of a distinct lineage that bears natural killer markers and a T cell receptor specific for a limited set of ligands. NK T cells have activation and regulatory roles particularly early in an immune response.,CL:0000814,mature NK T cell,mature natural killer T-cell,exact,4
A mature alpha-beta T cell of a distinct lineage that bears natural killer markers and a T cell receptor specific for a limited set of ligands. NK T cells have activation and regulatory roles particularly early in an immune response.,CL:0000814,mature NK T cell,mature natural killer T lymphocyte,exact,4
A mature alpha-beta T cell of a distinct lineage that bears natural killer markers and a T cell receptor specific for a limited set of ligands. NK T cells have activation and regulatory roles particularly early in an immune response.,CL:0000814,mature NK T cell,mature natural killer T cell,exact,4
A gamma-delta T cell that has a mature phenotype. These cells can be found in tissues and circulation where they express unique TCR repertoire depending on their location.,CL:0000800,mature gamma-delta T cell,mature gamma-delta T-lymphocyte,exact,4
A gamma-delta T cell that has a mature phenotype. These cells can be found in tissues and circulation where they express unique TCR repertoire depending on their location.,CL:0000800,mature gamma-delta T cell,mature gamma-delta T-cell,exact,4
A gamma-delta T cell that has a mature phenotype. These cells can be found in tissues and circulation where they express unique TCR repertoire depending on their location.,CL:0000800,mature gamma-delta T cell,mature gamma-delta T lymphocyte,exact,4
A gamma-delta T cell that has a mature phenotype. These cells can be found in tissues and circulation where they express unique TCR repertoire depending on their location.,CL:0000800,mature gamma-delta T cell,mature gamma-delta T cell,label,5
"A thymocyte that has a T cell receptor consisting of a gamma chain that has as part a Vgamma3 segment, and a delta chain. This cell type is CD4- negative, CD8-negative and CD24-negative. This cell-type is found in the fetal thymus with highest numbers occurring at E17-E18.",CL:0002401,mature dendritic epithelial T cell precursor,mature dendritic epithelial T cell precursor,label,5
A alpha-beta T cell that has a mature phenotype.,CL:0000791,mature alpha-beta T cell,mature alpha-beta T-lymphocyte,exact,4
A alpha-beta T cell that has a mature phenotype.,CL:0000791,mature alpha-beta T cell,mature alpha-beta T-cell,exact,4
A alpha-beta T cell that has a mature phenotype.,CL:0000791,mature alpha-beta T cell,mature alpha-beta T lymphocyte,exact,4
A alpha-beta T cell that has a mature phenotype.,CL:0000791,mature alpha-beta T cell,mature alpha-beta T cell,label,5
"A thymocyte that has a T cell receptor consisting of a gamma chain containing Vgamma2 segment, and a delta chain. This cell type is CD4- negative, CD8-negative and CD24-negative. This cell-type is found in the fetal thymus.",CL:0002407,mature Vgamma2-positive thymocyte,mature Vgamma2-positive thymocyte,label,5
"A thymocyte that has a T cell receptor consisting of a gamma chain containing Vgamma2 segment, and a delta chain. This cell type is CD4- negative, CD8-negative and CD24-negative. This cell-type is found in the fetal thymus.",CL:0002403,mature Vgamma2-positive fetal thymocyte,mature Vgamma2-positive fetal thymocyte,label,5
"A thymocyte that has a T cell receptor consisting of a gamma chain containing Vgamma2 segment, and a delta chain. This cell type is CD4- negative, CD8-negative and CD24-negative. This cell-type is found in the fetal thymus.",CL:0002409,mature Vgamma2-negative thymocyte,mature Vgamma2-negative thymocyte,label,5
"A Vgamma1.1-positive, Vdelta6.3-positive thymocyte that is CD24-negative.",CL:0002416,"mature Vgamma1.1-positive, Vdelta6.3-positive thymocyte","mature Vgamma1.1-positive, Vdelta6.3-positive thymocyte",label,5
"A Vgamma1.1-positive, Vdelta6.3-negative thymocyte that is CD24-negative.",CL:0002413,"mature Vgamma1.1-positive, Vdelta6.3-negative thymocyte","mature Vgamma1.1-positive, Vdelta6.3-negative thymocyte",label,5
"A Vgamma1.1-positive, Vdelta6.3-negative thymocyte that is CD24-negative.",CL:0002413,"mature Vgamma1.1-positive, Vdelta6.3-negative thymocyte","mature Vg1.1-positive, Vd6.3-negative T cell",related,2
"A Vgamma1.1-positive, Vdelta6.3-positive thymocyte that is CD24-negative.",CL:0002416,"mature Vgamma1.1-positive, Vdelta6.3-positive thymocyte",mature Vg1.1+Vd6.3+ T cell,exact,4
A T cell that expresses a T cell receptor complex and has completed T cell selection.,CL:0002419,mature T cell,mature T-cell,exact,4
A T cell that expresses a T cell receptor complex and has completed T cell selection.,CL:0002419,mature T cell,mature T cell,label,5
A mature alpha-beta T cell of a distinct lineage that bears natural killer markers and a T cell receptor specific for a limited set of ligands. NK T cells have activation and regulatory roles particularly early in an immune response.,CL:0000814,mature NK T cell,mature NKT cell,exact,4
A mature alpha-beta T cell of a distinct lineage that bears natural killer markers and a T cell receptor specific for a limited set of ligands. NK T cells have activation and regulatory roles particularly early in an immune response.,CL:0000814,mature NK T cell,mature NK T-lymphocyte,exact,4
A mature alpha-beta T cell of a distinct lineage that bears natural killer markers and a T cell receptor specific for a limited set of ligands. NK T cells have activation and regulatory roles particularly early in an immune response.,CL:0000814,mature NK T cell,mature NK T-cell,exact,4
A mature alpha-beta T cell of a distinct lineage that bears natural killer markers and a T cell receptor specific for a limited set of ligands. NK T cells have activation and regulatory roles particularly early in an immune response.,CL:0000814,mature NK T cell,mature NK T lymphocyte,exact,4
A mature alpha-beta T cell of a distinct lineage that bears natural killer markers and a T cell receptor specific for a limited set of ligands. NK T cells have activation and regulatory roles particularly early in an immune response.,CL:0000814,mature NK T cell,mature NK T cell,label,5
"A thymocyte that has a T cell receptor consisting of a gamma chain that has as part a Vgamma3 segment, and a delta chain. This cell type is CD4- negative, CD8-negative and CD24-negative. This cell-type is found in the fetal thymus with highest numbers occurring at E17-E18.",CL:0002401,mature dendritic epithelial T cell precursor,mature DETC precursor,exact,4
"A thymocyte that has a T cell receptor consisting of a gamma chain that has as part a Vgamma3 segment, and a delta chain. This cell type is CD4- negative, CD8-negative and CD24-negative. This cell-type is found in the fetal thymus with highest numbers occurring at E17-E18.",CL:0002401,mature dendritic epithelial T cell precursor,mature DEC precursor,exact,4
"A mature CD8-positive, CD4-negative alpha-beta T cell found in the thymus that is CD24-low and has high expression of the T cell receptor.",CL:0002437,mature CD8 single-positive thymocyte,mature CD8 single-positive thymocyte,label,5
"A mature CD4-positive, CD8-negative alpha-beta T cell found in the thymus that is CD24-low and has high expression of the T cell receptor.",CL:0002436,mature CD4 single-positive thymocyte,mature CD4 single-positive thymocyte,label,5
A thymocyte expressing the alpha-beta T cell receptor complex as well as both the CD4 and CD8 coreceptors.,CL:0000809,"double-positive, alpha-beta thymocyte",late cortical thymocyte,broad,1
"A CD8-positive, alpha-beta T cell that is capable of killing target cells in an antigen specific manner with the phenotype perforin-positive and granzyme B-positive.",CL:0000794,"CD8-positive, alpha-beta cytotoxic T cell",killer T-lymphocyte,broad,1
"A CD8-positive, alpha-beta T cell that is capable of killing target cells in an antigen specific manner with the phenotype perforin-positive and granzyme B-positive.",CL:0000794,"CD8-positive, alpha-beta cytotoxic T cell",killer T-cell,broad,1
"A CD8-positive, alpha-beta T cell that is capable of killing target cells in an antigen specific manner with the phenotype perforin-positive and granzyme B-positive.",CL:0000794,"CD8-positive, alpha-beta cytotoxic T cell",killer T lymphocyte,broad,1
"A CD8-positive, alpha-beta T cell that is capable of killing target cells in an antigen specific manner with the phenotype perforin-positive and granzyme B-positive.",CL:0000794,"CD8-positive, alpha-beta cytotoxic T cell",killer T cell,broad,1
An alpha-beta T cell expressing NK cell markers that is CD1d restricted and expresses specific V-alpha chains. NK T cells of this type recognize the glycolipid alpha-galactosylceramide in the context of CD1d.,CL:0000921,type I NK T cell,invariant NK T cell,related,2
A T cell that is located in the intestinal epithelium and is capable of a mucosal immune response.,CL:0002496,intraepithelial lymphocyte,intraepithelial lymphocyte,label,5
A T cell that is located in the intestinal epithelium and is capable of a mucosal immune response.,CL:0002496,intraepithelial lymphocyte,intraepithelial T-cell,exact,4
A T cell that is located in the intestinal epithelium and is capable of a mucosal immune response.,CL:0002496,intraepithelial lymphocyte,intraepithelial T cell,exact,4
"A CD4-positive, CD8-negative thymocyte that expresses high levels of the alpha-beta T cell receptor and is CD69-positive.",CL:0002435,"CD69-positive, CD8-positive single-positive thymocyte",intermediate CD8-single-positive,exact,4
"A CD4-positive, CD8-negative thymocyte that expresses high levels of the alpha-beta T cell receptor and is CD69-positive.",CL:0002433,"CD69-positive, CD4-positive single-positive thymocyte",intermediate CD4-single-positive,exact,4
A T cell with a receptor of limited diversity that is capable of immediate effector functions upon stimulation.,CL:0002127,innate effector T cell,innate effector T cell,label,5
"CD4-positive alpha-beta T cell with the phenotype CD25-positive, CTLA-4-positive, and FoxP3-positive with regulatory function.",CL:0000902,induced T-regulatory cell,induced regulatory T-lymphocyte,exact,4
"CD4-positive alpha-beta T cell with the phenotype CD25-positive, CTLA-4-positive, and FoxP3-positive with regulatory function.",CL:0000902,induced T-regulatory cell,induced regulatory T-cell,exact,4
"CD4-positive alpha-beta T cell with the phenotype CD25-positive, CTLA-4-positive, and FoxP3-positive with regulatory function.",CL:0000902,induced T-regulatory cell,induced regulatory T lymphocyte,exact,4
"CD4-positive alpha-beta T cell with the phenotype CD25-positive, CTLA-4-positive, and FoxP3-positive with regulatory function.",CL:0000902,induced T-regulatory cell,induced regulatory T cell,exact,4
"CD4-positive alpha-beta T cell with the phenotype CD25-positive, CTLA-4-positive, and FoxP3-positive with regulatory function.",CL:0000902,induced T-regulatory cell,induced Treg,exact,4
"CD4-positive alpha-beta T cell with the phenotype CD25-positive, CTLA-4-positive, and FoxP3-positive with regulatory function.",CL:0000902,induced T-regulatory cell,induced T-regulatory cell,label,5
"A thymocyte that has the phenotype CD4-negative, CD8-positive, CD44-negative, CD25-negative, and pre-TCR-positive.",CL:0000805,immature single positive thymocyte,immature single positive thymocyte,label,5
"A thymocyte that has the phenotype CD4-negative, CD8-positive, CD44-negative, CD25-negative, and pre-TCR-positive.",CL:0000805,immature single positive thymocyte,immature single positive T-lymphocyte,exact,4
"A thymocyte that has the phenotype CD4-negative, CD8-positive, CD44-negative, CD25-negative, and pre-TCR-positive.",CL:0000805,immature single positive thymocyte,immature single positive T lymphocyte,exact,4
"A thymocyte that has the phenotype CD4-negative, CD8-positive, CD44-negative, CD25-negative, and pre-TCR-positive.",CL:0000805,immature single positive thymocyte,immature single positive T cell,exact,4
A gamma-delta T cell that has an immature phenotype.,CL:0000799,immature gamma-delta T cell,immature gamma-delta T-lymphocyte,exact,4
