desc,id,label,syn,syn_typ,syn_typ_id
"A CD4-positive, CXCR5-positive, CCR7-negative alpha-beta T cell located in follicles of secondary lymph nodes that expresses is BCL6-high, ICOS-high and PD1-high, and stimulates follicular B cells to undergo class-switching and antibody production.",CL:0002038,T follicular helper cell,follicular T-cell,related,2
"A CD4-positive, CXCR5-positive, CCR7-negative alpha-beta T cell located in follicles of secondary lymph nodes that expresses is BCL6-high, ICOS-high and PD1-high, and stimulates follicular B cells to undergo class-switching and antibody production.",CL:0002038,T follicular helper cell,follicular T cell,related,2
"A CD4-positive, CXCR5-positive, CCR7-negative alpha-beta T cell located in follicles of secondary lymph nodes that expresses is BCL6-high, ICOS-high and PD1-high, and stimulates follicular B cells to undergo class-switching and antibody production.",CL:0002038,T follicular helper cell,follicular B helper T cell,related,2
A thymocyte found in the fetal thymus.,CL:0002404,fetal thymocyte,fetal thymocyte,label,5
"A thymocyte that has a T cell receptor consisting of a gamma chain containing Vgamma2 segment, and a delta chain. This cell type is CD4- negative, CD8-negative and CD24-negative. This cell-type is found in the fetal thymus.",CL:0002403,mature Vgamma2-positive fetal thymocyte,fetal Vgamma2-positive,exact,4
"A double negative thymocyte that has a T cell receptor consisting of a gamma chain containing a Vgamma2 segment, and a delta chain. This cell type is CD4- negative, CD8-negative and CD24-positive and is found in the fetal thymus.",CL:0002378,immature Vgamma2-positive fetal thymocyte,fetal Vgamma2+ thymocyte,broad,1
"CD8-positive, alpha-beta memory T cell with the phenotype CCR7-negative, CD127-positive, CD45RA-negative, CD45RO-positive, and CD25-negative.",CL:0000913,"effector memory CD8-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T-lymphocyte",exact,4
"CD8-positive, alpha-beta memory T cell with the phenotype CCR7-negative, CD127-positive, CD45RA-negative, CD45RO-positive, and CD25-negative.",CL:0000913,"effector memory CD8-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T-cell",exact,4
"CD8-positive, alpha-beta memory T cell with the phenotype CCR7-negative, CD127-positive, CD45RA-negative, CD45RO-positive, and CD25-negative.",CL:0000913,"effector memory CD8-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T lymphocyte",exact,4
"A CD8-positive, alpha beta memory T cell with the phenotype CD45RA-positive, CD45RO-negative, and CCR7-negative.",CL:0001062,"effector memory CD8-positive, alpha-beta T cell, terminally differentiated","effector memory CD8-positive, alpha-beta T cell, terminally differentiated",label,5
"CD8-positive, alpha-beta memory T cell with the phenotype CCR7-negative, CD127-positive, CD45RA-negative, CD45RO-positive, and CD25-negative.",CL:0000913,"effector memory CD8-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T cell",label,5
"CD8-positive, alpha-beta memory T cell with the phenotype CCR7-negative, CD127-positive, CD45RA-negative, CD45RO-positive, and CD25-negative.",CL:0000913,"effector memory CD8-positive, alpha-beta T cell",effector memory CD8+ T cell,broad,1
"CD4-positive, alpha-beta memory T cell with the phenotype CCR7-negative, CD127-positive, CD45RA-negative, CD45RO-positive, and CD25-negative.",CL:0000905,"effector memory CD4-positive, alpha-beta T cell","effector memory CD4-positive, alpha-beta T-lymphocyte",exact,4
"CD4-positive, alpha-beta memory T cell with the phenotype CCR7-negative, CD127-positive, CD45RA-negative, CD45RO-positive, and CD25-negative.",CL:0000905,"effector memory CD4-positive, alpha-beta T cell","effector memory CD4-positive, alpha-beta T-cell",exact,4
"CD4-positive, alpha-beta memory T cell with the phenotype CCR7-negative, CD127-positive, CD45RA-negative, CD45RO-positive, and CD25-negative.",CL:0000905,"effector memory CD4-positive, alpha-beta T cell","effector memory CD4-positive, alpha-beta T lymphocyte",exact,4
"CD4-positive, alpha-beta memory T cell with the phenotype CCR7-negative, CD127-positive, CD45RA-negative, CD45RO-positive, and CD25-negative.",CL:0000905,"effector memory CD4-positive, alpha-beta T cell","effector memory CD4-positive, alpha-beta T cell",label,5
"CD4-positive, alpha-beta memory T cell with the phenotype CCR7-negative, CD127-positive, CD45RA-negative, CD45RO-positive, and CD25-negative.",CL:0000905,"effector memory CD4-positive, alpha-beta T cell",effector memory CD4+ T cell,broad,1
A differentiated T cell with ability to traffic to peripheral tissues and is capable of mounting a specific immune response.,CL:0000911,effector T cell,effector T-lymphocyte,exact,4
A differentiated T cell with ability to traffic to peripheral tissues and is capable of mounting a specific immune response.,CL:0000911,effector T cell,effector T-cell,exact,4
A differentiated T cell with ability to traffic to peripheral tissues and is capable of mounting a specific immune response.,CL:0000911,effector T cell,effector T lymphocyte,exact,4
A differentiated T cell with ability to traffic to peripheral tissues and is capable of mounting a specific immune response.,CL:0000911,effector T cell,effector T cell,label,5
"CD8-positive, alpha-beta memory T cell with the phenotype CCR7-negative, CD127-positive, CD45RA-negative, CD45RO-positive, and CD25-negative.",CL:0000913,"effector memory CD8-positive, alpha-beta T cell","effector CD8-positive, alpha-beta memory T-lymphocyte",exact,4
"CD8-positive, alpha-beta memory T cell with the phenotype CCR7-negative, CD127-positive, CD45RA-negative, CD45RO-positive, and CD25-negative.",CL:0000913,"effector memory CD8-positive, alpha-beta T cell","effector CD8-positive, alpha-beta memory T-cell",exact,4
"CD8-positive, alpha-beta memory T cell with the phenotype CCR7-negative, CD127-positive, CD45RA-negative, CD45RO-positive, and CD25-negative.",CL:0000913,"effector memory CD8-positive, alpha-beta T cell","effector CD8-positive, alpha-beta memory T lymphocyte",exact,4
"CD8-positive, alpha-beta memory T cell with the phenotype CCR7-negative, CD127-positive, CD45RA-negative, CD45RO-positive, and CD25-negative.",CL:0000913,"effector memory CD8-positive, alpha-beta T cell","effector CD8-positive, alpha-beta memory T cell",exact,4
"A CD8-positive, alpha-beta T cell with the phenotype CCR7-negative, CD45RA-positive.",CL:0001050,"effector CD8-positive, alpha-beta T cell","effector CD8-positive, alpha-beta T-lymphocyte",exact,4
"A CD8-positive, alpha-beta T cell with the phenotype CCR7-negative, CD45RA-positive.",CL:0001050,"effector CD8-positive, alpha-beta T cell","effector CD8-positive, alpha-beta T-cell",exact,4
"A CD8-positive, alpha-beta T cell with the phenotype CCR7-negative, CD45RA-positive.",CL:0001050,"effector CD8-positive, alpha-beta T cell","effector CD8-positive, alpha-beta T lymphocyte",exact,4
"A CD8-positive, alpha-beta T cell with the phenotype CCR7-negative, CD45RA-positive.",CL:0001050,"effector CD8-positive, alpha-beta T cell","effector CD8-positive, alpha-beta T cell",label,5
"A CD8-positive, alpha-beta T cell with the phenotype CCR7-negative, CD45RA-positive.",CL:0001050,"effector CD8-positive, alpha-beta T cell",effector CD8+ T cell,broad,1
"CD4-positive, alpha-beta memory T cell with the phenotype CCR7-negative, CD127-positive, CD45RA-negative, CD45RO-positive, and CD25-negative.",CL:0000905,"effector memory CD4-positive, alpha-beta T cell","effector CD4-positive, alpha-beta memory T-lymphocyte",exact,4
"CD4-positive, alpha-beta memory T cell with the phenotype CCR7-negative, CD127-positive, CD45RA-negative, CD45RO-positive, and CD25-negative.",CL:0000905,"effector memory CD4-positive, alpha-beta T cell","effector CD4-positive, alpha-beta memory T-cell",exact,4
"CD4-positive, alpha-beta memory T cell with the phenotype CCR7-negative, CD127-positive, CD45RA-negative, CD45RO-positive, and CD25-negative.",CL:0000905,"effector memory CD4-positive, alpha-beta T cell","effector CD4-positive, alpha-beta memory T lymphocyte",exact,4
"CD4-positive, alpha-beta memory T cell with the phenotype CCR7-negative, CD127-positive, CD45RA-negative, CD45RO-positive, and CD25-negative.",CL:0000905,"effector memory CD4-positive, alpha-beta T cell","effector CD4-positive, alpha-beta memory T cell",exact,4
"A CD4-positive, alpha-beta T cell with the phenotype CCR7-negative, CD45RA-positive.",CL:0001044,"effector CD4-positive, alpha-beta T cell","effector CD4-positive, alpha-beta T-lymphocyte",exact,4
"A CD4-positive, alpha-beta T cell with the phenotype CCR7-negative, CD45RA-positive.",CL:0001044,"effector CD4-positive, alpha-beta T cell","effector CD4-positive, alpha-beta T-cell",exact,4
"A CD4-positive, alpha-beta T cell with the phenotype CCR7-negative, CD45RA-positive.",CL:0001044,"effector CD4-positive, alpha-beta T cell","effector CD4-positive, alpha-beta T lymphocyte",exact,4
"A CD4-positive, alpha-beta T cell with the phenotype CCR7-negative, CD45RA-positive.",CL:0001044,"effector CD4-positive, alpha-beta T cell","effector CD4-positive, alpha-beta T cell",label,5
"A CD4-positive, alpha-beta T cell with the phenotype CCR7-negative, CD45RA-positive.",CL:0001044,"effector CD4-positive, alpha-beta T cell",effector CD4+ T cell,broad,1
"A thymocyte that has the phenotype CD4-negative, CD8-negative, CD44-negative, CD25-negative, and pre-TCR-positive.",CL:0000808,DN4 thymocyte,early cortical thymocyte,broad,1
A thymocyte expressing the alpha-beta T cell receptor complex as well as both the CD4 and CD8 coreceptors.,CL:0000809,"double-positive, alpha-beta thymocyte","double-positive, alpha-beta thymocyte",label,5
A thymocyte expressing the alpha-beta T cell receptor complex as well as both the CD4 and CD8 coreceptors.,CL:0000809,"double-positive, alpha-beta thymocyte","double-positive, alpha-beta immature T lymphocyte",exact,4
A double-positive thymocyte that is large (i.e. has a high forward scatter signal in flow cytometry) and is actively proliferating.,CL:0002428,double-positive blast,double-positive blast,label,5
A thymocyte that lacks expression of CD4 and CD8.,CL:0002489,double negative thymocyte,double negative thymocyte,label,5
A thymocyte that lacks expression of CD4 and CD8.,CL:0002489,double negative thymocyte,double negative T cell,broad,1
"A thymocyte that has the phenotype CD4-negative, CD8-negative, CD44-negative, CD25-negative, and pre-TCR-positive.",CL:0000808,DN4 thymocyte,double negative 4,exact,4
"A thymocyte that has the phenotype CD4-negative, CD8-negative, CD44-negative, and CD25-positive and expressing the T cell receptor beta-chain in complex with the pre-T cell receptor alpha chain.",CL:0000807,DN3 thymocyte,double negative 3,exact,4
"A thymocyte that has the phenotype CD4-negative, CD8-negative, CD44-positive, and CD25-positive.",CL:0000806,DN2 thymocyte,double negative 2,exact,4
A mature gamma-delta T cell located in the epidermis that regulates wound healing.,CL:0000916,dendritic epidermal T cell,dendritic epidermal T-lymphocyte,exact,4
A mature gamma-delta T cell located in the epidermis that regulates wound healing.,CL:0000916,dendritic epidermal T cell,dendritic epidermal T-cell,exact,4
A mature gamma-delta T cell located in the epidermis that regulates wound healing.,CL:0000916,dendritic epidermal T cell,dendritic epidermal T lymphocyte,exact,4
A mature gamma-delta T cell located in the epidermis that regulates wound healing.,CL:0000916,dendritic epidermal T cell,dendritic epidermal T cell,label,5
A mature T cell that differentiated and acquired cytotoxic function with the phenotype perforin-positive and granzyme-B positive.,CL:0000910,cytotoxic T cell,cytotoxic T-lymphocyte,exact,4
A mature T cell that differentiated and acquired cytotoxic function with the phenotype perforin-positive and granzyme-B positive.,CL:0000910,cytotoxic T cell,cytotoxic T-cell,exact,4
A mature T cell that differentiated and acquired cytotoxic function with the phenotype perforin-positive and granzyme-B positive.,CL:0000910,cytotoxic T cell,cytotoxic T lymphocyte,exact,4
A mature T cell that differentiated and acquired cytotoxic function with the phenotype perforin-positive and granzyme-B positive.,CL:0000910,cytotoxic T cell,cytotoxic T cell,label,5
An alpha-beta T cell expressing NK cell markers that is CD1d restricted and expresses specific V-alpha chains. NK T cells of this type recognize the glycolipid alpha-galactosylceramide in the context of CD1d.,CL:0000921,type I NK T cell,classical NK T cell,exact,4
"CD8-positive, alpha-beta memory T cell with the phenotype CCR7-positive, CD127-positive, CD45RA-negative, CD45RO-positive, and CD25-negative.",CL:0000907,"central memory CD8-positive, alpha-beta T cell","central memory CD8-positive, alpha-beta T-lymphocyte",exact,4
"CD8-positive, alpha-beta memory T cell with the phenotype CCR7-positive, CD127-positive, CD45RA-negative, CD45RO-positive, and CD25-negative.",CL:0000907,"central memory CD8-positive, alpha-beta T cell","central memory CD8-positive, alpha-beta T-cell",exact,4
"CD8-positive, alpha-beta memory T cell with the phenotype CCR7-positive, CD127-positive, CD45RA-negative, CD45RO-positive, and CD25-negative.",CL:0000907,"central memory CD8-positive, alpha-beta T cell","central memory CD8-positive, alpha-beta T lymphocyte",exact,4
"CD8-positive, alpha-beta memory T cell with the phenotype CCR7-positive, CD127-positive, CD45RA-negative, CD45RO-positive, and CD25-negative.",CL:0000907,"central memory CD8-positive, alpha-beta T cell","central memory CD8-positive, alpha-beta T cell",label,5
"CD8-positive, alpha-beta memory T cell with the phenotype CCR7-positive, CD127-positive, CD45RA-negative, CD45RO-positive, and CD25-negative.",CL:0000907,"central memory CD8-positive, alpha-beta T cell",central memory CD8+ T cell,broad,1
"CD4-positive, alpha-beta memory T cell with the phenotype CCR7-positive, CD127-positive, CD45RA-negative, CD45RO-positive, and CD25-negative.",CL:0000904,"central memory CD4-positive, alpha-beta T cell","central memory CD4-positive, alpha-beta T-lymphocyte",exact,4
"CD4-positive, alpha-beta memory T cell with the phenotype CCR7-positive, CD127-positive, CD45RA-negative, CD45RO-positive, and CD25-negative.",CL:0000904,"central memory CD4-positive, alpha-beta T cell","central memory CD4-positive, alpha-beta T-cell",exact,4
"CD4-positive, alpha-beta memory T cell with the phenotype CCR7-positive, CD127-positive, CD45RA-negative, CD45RO-positive, and CD25-negative.",CL:0000904,"central memory CD4-positive, alpha-beta T cell","central memory CD4-positive, alpha-beta T lymphocyte",exact,4
"CD4-positive, alpha-beta memory T cell with the phenotype CCR7-positive, CD127-positive, CD45RA-negative, CD45RO-positive, and CD25-negative.",CL:0000904,"central memory CD4-positive, alpha-beta T cell","central memory CD4-positive, alpha-beta T cell",label,5
"CD4-positive, alpha-beta memory T cell with the phenotype CCR7-positive, CD127-positive, CD45RA-negative, CD45RO-positive, and CD25-negative.",CL:0000904,"central memory CD4-positive, alpha-beta T cell",central memory CD4+ T cell,broad,1
"CD8-positive, alpha-beta memory T cell with the phenotype CCR7-positive, CD127-positive, CD45RA-negative, CD45RO-positive, and CD25-negative.",CL:0000907,"central memory CD8-positive, alpha-beta T cell","central CD8-positive, alpha-beta memory T-lymphocyte",exact,4
"CD8-positive, alpha-beta memory T cell with the phenotype CCR7-positive, CD127-positive, CD45RA-negative, CD45RO-positive, and CD25-negative.",CL:0000907,"central memory CD8-positive, alpha-beta T cell","central CD8-positive, alpha-beta memory T-cell",exact,4
"CD8-positive, alpha-beta memory T cell with the phenotype CCR7-positive, CD127-positive, CD45RA-negative, CD45RO-positive, and CD25-negative.",CL:0000907,"central memory CD8-positive, alpha-beta T cell","central CD8-positive, alpha-beta memory T lymphocyte",exact,4
"CD8-positive, alpha-beta memory T cell with the phenotype CCR7-positive, CD127-positive, CD45RA-negative, CD45RO-positive, and CD25-negative.",CL:0000907,"central memory CD8-positive, alpha-beta T cell","central CD8-positive, alpha-beta memory T cell",exact,4
"CD4-positive, alpha-beta memory T cell with the phenotype CCR7-positive, CD127-positive, CD45RA-negative, CD45RO-positive, and CD25-negative.",CL:0000904,"central memory CD4-positive, alpha-beta T cell","central CD4-positive, alpha-beta memory T-lymphocyte",exact,4
"CD4-positive, alpha-beta memory T cell with the phenotype CCR7-positive, CD127-positive, CD45RA-negative, CD45RO-positive, and CD25-negative.",CL:0000904,"central memory CD4-positive, alpha-beta T cell","central CD4-positive, alpha-beta memory T-cell",exact,4
"CD4-positive, alpha-beta memory T cell with the phenotype CCR7-positive, CD127-positive, CD45RA-negative, CD45RO-positive, and CD25-negative.",CL:0000904,"central memory CD4-positive, alpha-beta T cell","central CD4-positive, alpha-beta memory T lymphocyte",exact,4
"CD4-positive, alpha-beta memory T cell with the phenotype CCR7-positive, CD127-positive, CD45RA-negative, CD45RO-positive, and CD25-negative.",CL:0000904,"central memory CD4-positive, alpha-beta T cell","central CD4-positive, alpha-beta memory T cell",exact,4
A mature alpha-beta T cell of the columnar epithelium of the gastrointestinal tract. Intraepithelial T cells often have distinct developmental pathways and activation requirements.,CL:0000797,alpha-beta intraepithelial T cell,alpha-beta intraepithelial T-lymphocyte,exact,4
A mature alpha-beta T cell of the columnar epithelium of the gastrointestinal tract. Intraepithelial T cells often have distinct developmental pathways and activation requirements.,CL:0000797,alpha-beta intraepithelial T cell,alpha-beta intraepithelial T-cell,exact,4
A mature alpha-beta T cell of the columnar epithelium of the gastrointestinal tract. Intraepithelial T cells often have distinct developmental pathways and activation requirements.,CL:0000797,alpha-beta intraepithelial T cell,alpha-beta intraepithelial T lymphocyte,exact,4
A mature alpha-beta T cell of the columnar epithelium of the gastrointestinal tract. Intraepithelial T cells often have distinct developmental pathways and activation requirements.,CL:0000797,alpha-beta intraepithelial T cell,alpha-beta intraepithelial T cell,label,5
A T cell that expresses an alpha-beta T cell receptor complex.,CL:0000789,alpha-beta T cell,alpha-beta T-lymphocyte,exact,4
A T cell that expresses an alpha-beta T cell receptor complex.,CL:0000789,alpha-beta T cell,alpha-beta T-cell,exact,4
A T cell that expresses an alpha-beta T cell receptor complex.,CL:0000789,alpha-beta T cell,alpha-beta T lymphocyte,exact,4
A T cell that expresses an alpha-beta T cell receptor complex.,CL:0000789,alpha-beta T cell,alpha-beta T cell,label,5
"CD4-positive alpha-beta T cell with the phenotype CD25-positive, CTLA-4-positive, and FoxP3-positive with regulatory function.",CL:0000902,induced T-regulatory cell,adaptive Treg,related,2
"A type II NK T cell that has been recently activated, secretes interferon-gamma and interleukin-4, and has the phenotype CD69-positive and downregulated NK markers.",CL:0000931,activated type II NK T cell,activated type II NKT cell,exact,4
"A type II NK T cell that has been recently activated, secretes interferon-gamma and interleukin-4, and has the phenotype CD69-positive and downregulated NK markers.",CL:0000931,activated type II NK T cell,activated type II NK T-lymphocyte,exact,4
"A type II NK T cell that has been recently activated, secretes interferon-gamma and interleukin-4, and has the phenotype CD69-positive and downregulated NK markers.",CL:0000931,activated type II NK T cell,activated type II NK T-cell,exact,4
"A type II NK T cell that has been recently activated, secretes interferon-gamma and interleukin-4, and has the phenotype CD69-positive and downregulated NK markers.",CL:0000931,activated type II NK T cell,activated type II NK T lymphocyte,exact,4
"A type II NK T cell that has been recently activated, secretes interferon-gamma and interleukin-4, and has the phenotype CD69-positive and downregulated NK markers.",CL:0000931,activated type II NK T cell,activated type II NK T cell,label,5
A double-positive thymocyte that is large (i.e. has a high forward scatter signal in flow cytometry) and is actively proliferating.,CL:0002428,double-positive blast,activated double-positive thymocyte,exact,4
"A recently activated CD8-positive, alpha-beta T cell with the phenotype HLA-DRA-positive, CD38-positive, CD69-positive, CD62L-negative, CD127-negative, CCR7-negative, and CD25-positive.",CL:0001049,"activated CD8-positive, alpha-beta T cell, human","activated CD8-positive, alpha-beta T-lymphocyte, human",exact,4
"A CD8-positive, alpha-beta T cell with the phenotype CD69-positive, CD62L-negative, CD127-negative, CD25-positive, and CCR7-negative.",CL:0000906,"activated CD8-positive, alpha-beta T cell","activated CD8-positive, alpha-beta T-lymphocyte",exact,4
"A recently activated CD8-positive, alpha-beta T cell with the phenotype HLA-DRA-positive, CD38-positive, CD69-positive, CD62L-negative, CD127-negative, CCR7-negative, and CD25-positive.",CL:0001049,"activated CD8-positive, alpha-beta T cell, human","activated CD8-positive, alpha-beta T-cell, human",exact,4
"A CD8-positive, alpha-beta T cell with the phenotype CD69-positive, CD62L-negative, CD127-negative, CD25-positive, and CCR7-negative.",CL:0000906,"activated CD8-positive, alpha-beta T cell","activated CD8-positive, alpha-beta T-cell",exact,4
"A recently activated CD8-positive, alpha-beta T cell with the phenotype HLA-DRA-positive, CD38-positive, CD69-positive, CD62L-negative, CD127-negative, CCR7-negative, and CD25-positive.",CL:0001049,"activated CD8-positive, alpha-beta T cell, human","activated CD8-positive, alpha-beta T lymphocyte, human",exact,4
"A CD8-positive, alpha-beta T cell with the phenotype CD69-positive, CD62L-negative, CD127-negative, CD25-positive, and CCR7-negative.",CL:0000906,"activated CD8-positive, alpha-beta T cell","activated CD8-positive, alpha-beta T lymphocyte",exact,4
"A recently activated CD8-positive, alpha-beta T cell with the phenotype HLA-DRA-positive, CD38-positive, CD69-positive, CD62L-negative, CD127-negative, CCR7-negative, and CD25-positive.",CL:0001049,"activated CD8-positive, alpha-beta T cell, human","activated CD8-positive, alpha-beta T cell, human",label,5
"A CD8-positive, alpha-beta T cell with the phenotype CD69-positive, CD62L-negative, CD127-negative, CD25-positive, and CCR7-negative.",CL:0000906,"activated CD8-positive, alpha-beta T cell","activated CD8-positive, alpha-beta T cell",label,5
"A recently activated CD8-positive, alpha-beta T cell with the phenotype HLA-DRA-positive, CD38-positive, CD69-positive, CD62L-negative, CD127-negative, CCR7-negative, and CD25-positive.",CL:0001049,"activated CD8-positive, alpha-beta T cell, human",activated CD8+ T cell,broad,1
"A recently activated CD4-positive, alpha-beta T cell with the phenotype HLA-DRA-positive, CD38-positive, CD69-positive, CD62L-negative, CD127-negative, and CD25-positive.",CL:0001043,"activated CD4-positive, alpha-beta T cell, human","activated CD4-positive, alpha-beta T-lymphocyte, human",exact,4
"A recently activated CD4-positive, alpha-beta T cell with the phenotype CD69-positive, CD62L-negative, CD127-negative, and CD25-positive.",CL:0000896,"activated CD4-positive, alpha-beta T cell","activated CD4-positive, alpha-beta T-lymphocyte",exact,4
"A recently activated CD4-positive, alpha-beta T cell with the phenotype HLA-DRA-positive, CD38-positive, CD69-positive, CD62L-negative, CD127-negative, and CD25-positive.",CL:0001043,"activated CD4-positive, alpha-beta T cell, human","activated CD4-positive, alpha-beta T-cell, human",exact,4
"A recently activated CD4-positive, alpha-beta T cell with the phenotype CD69-positive, CD62L-negative, CD127-negative, and CD25-positive.",CL:0000896,"activated CD4-positive, alpha-beta T cell","activated CD4-positive, alpha-beta T-cell",exact,4
"A recently activated CD4-positive, alpha-beta T cell with the phenotype HLA-DRA-positive, CD38-positive, CD69-positive, CD62L-negative, CD127-negative, and CD25-positive.",CL:0001043,"activated CD4-positive, alpha-beta T cell, human","activated CD4-positive, alpha-beta T lymphocyte, human",exact,4
"A recently activated CD4-positive, alpha-beta T cell with the phenotype CD69-positive, CD62L-negative, CD127-negative, and CD25-positive.",CL:0000896,"activated CD4-positive, alpha-beta T cell","activated CD4-positive, alpha-beta T lymphocyte",exact,4
"A recently activated CD4-positive, alpha-beta T cell with the phenotype HLA-DRA-positive, CD38-positive, CD69-positive, CD62L-negative, CD127-negative, and CD25-positive.",CL:0001043,"activated CD4-positive, alpha-beta T cell, human","activated CD4-positive, alpha-beta T cell, human",label,5
"A recently activated CD4-positive, alpha-beta T cell with the phenotype CD69-positive, CD62L-negative, CD127-negative, and CD25-positive.",CL:0000896,"activated CD4-positive, alpha-beta T cell","activated CD4-positive, alpha-beta T cell",label,5
"A CD4-positive, CD25-positive, CCR4-positive, alpha-beta T regulatory cell with the phenotype HLA-DRA-positive, indicating recent activation.",CL:0001048,"activated CD4-positive, CD25-positive, CCR4-positive, alpha-beta regulatory T cell, human","activated CD4-positive, CD25-positive, CCR4-positive, alpha-beta regulatory T-lymphocyte",exact,4
"A CD4-positive, CD25-positive, CCR4-positive, alpha-beta T regulatory cell with the phenotype HLA-DRA-positive, indicating recent activation.",CL:0001048,"activated CD4-positive, CD25-positive, CCR4-positive, alpha-beta regulatory T cell, human","activated CD4-positive, CD25-positive, CCR4-positive, alpha-beta regulatory T-cell",exact,4
"A CD4-positive, CD25-positive, CCR4-positive, alpha-beta T regulatory cell with the phenotype HLA-DRA-positive, indicating recent activation.",CL:0001048,"activated CD4-positive, CD25-positive, CCR4-positive, alpha-beta regulatory T cell, human","activated CD4-positive, CD25-positive, CCR4-positive, alpha-beta regulatory T lymphocyte",exact,4
"A CD4-positive, CD25-positive, CCR4-positive, alpha-beta T regulatory cell with the phenotype HLA-DRA-positive, indicating recent activation.",CL:0001048,"activated CD4-positive, CD25-positive, CCR4-positive, alpha-beta regulatory T cell, human","activated CD4-positive, CD25-positive, CCR4-positive, alpha-beta regulatory T cell, human",label,5
"A type I NK T cell that has been recently activated, secretes interferon-gamma and IL-4, and has the phenotype CD4-positive, CD69-positive, and downregulated NK markers.",CL:0000925,activated CD4-positive type I NK T cell,activated CD4-positive type I NKT cell,exact,4
"A type I NK T cell that has been recently activated, secretes interferon-gamma and IL-4, and has the phenotype CD4-positive, CD69-positive, and downregulated NK markers.",CL:0000925,activated CD4-positive type I NK T cell,activated CD4-positive type I NK T-lymphocyte,exact,4
"A type I NK T cell that has been recently activated, secretes interferon-gamma and IL-4, and has the phenotype CD4-positive, CD69-positive, and downregulated NK markers.",CL:0000925,activated CD4-positive type I NK T cell,activated CD4-positive type I NK T-cell,exact,4
"A type I NK T cell that has been recently activated, secretes interferon-gamma and IL-4, and has the phenotype CD4-positive, CD69-positive, and downregulated NK markers.",CL:0000925,activated CD4-positive type I NK T cell,activated CD4-positive type I NK T lymphocyte,exact,4
"A type I NK T cell that has been recently activated, secretes interferon-gamma and IL-4, and has the phenotype CD4-positive, CD69-positive, and downregulated NK markers.",CL:0000925,activated CD4-positive type I NK T cell,activated CD4-positive type I NK T cell,label,5
"A type I NK T cell that has been recently activated, secretes interferon-gamma and interleukin-4, and has phenotype CD4-negative, CD8-negative, CD69-positive, and downregulated NK markers.",CL:0000928,"activated CD4-negative, CD8-negative type I NK T cell","activated CD4-negative, CD8-negative type I NKT cell",exact,4
"A type I NK T cell that has been recently activated, secretes interferon-gamma and interleukin-4, and has phenotype CD4-negative, CD8-negative, CD69-positive, and downregulated NK markers.",CL:0000928,"activated CD4-negative, CD8-negative type I NK T cell","activated CD4-negative, CD8-negative type I NK T-lymphocyte",exact,4
"A type I NK T cell that has been recently activated, secretes interferon-gamma and interleukin-4, and has phenotype CD4-negative, CD8-negative, CD69-positive, and downregulated NK markers.",CL:0000928,"activated CD4-negative, CD8-negative type I NK T cell","activated CD4-negative, CD8-negative type I NK T-cell",exact,4
"A type I NK T cell that has been recently activated, secretes interferon-gamma and interleukin-4, and has phenotype CD4-negative, CD8-negative, CD69-positive, and downregulated NK markers.",CL:0000928,"activated CD4-negative, CD8-negative type I NK T cell","activated CD4-negative, CD8-negative type I NK T lymphocyte",exact,4
"A type I NK T cell that has been recently activated, secretes interferon-gamma and interleukin-4, and has phenotype CD4-negative, CD8-negative, CD69-positive, and downregulated NK markers.",CL:0000928,"activated CD4-negative, CD8-negative type I NK T cell","activated CD4-negative, CD8-negative type I NK T cell",label,5
"A recently activated CD4-positive, alpha-beta T cell with the phenotype HLA-DRA-positive, CD38-positive, CD69-positive, CD62L-negative, CD127-negative, and CD25-positive.",CL:0001043,"activated CD4-positive, alpha-beta T cell, human",activated CD4+ T cell,broad,1
"A CD4-positive, CD25-positive, CCR4-positive, alpha-beta T regulatory cell with the phenotype HLA-DRA-positive, indicating recent activation.",CL:0001048,"activated CD4-positive, CD25-positive, CCR4-positive, alpha-beta regulatory T cell, human",activated CCR4+ Treg,exact,4
"CD4-positive alpha-beta T cell with the phenotype CD25-positive, CTLA-4-positive, and FoxP3-positive with regulatory function.",CL:0000902,induced T-regulatory cell,aTreg,related,2
A CD8alpha alpha positive gamma-delta intraepithelial T cell that expresses a TCR encoded in part by the Vgamma5 gene segment.,CL:0002513,Vgamma5-positive CD8alpha alpha positive gamma-delta intraepithelial T cell,Vgamma5-positive CD8alpha alpha positive gamma-delta intraepithelial T cell,label,5
A CD8alpha alpha positive gamma-delta intraepithelial T cell that does not express a TCR partially encoded by the Vgamma5 gene segment.,CL:0002514,Vgamma5-negative CD8alpha alpha positive gamma-delta intraepithelial T cell,Vgamma5-negative CD8alpha alpha positive gamma-delta intraepithelial T cell,label,5
"A double negative post-natal thymocyte that has a T cell receptor consisting of a gamma chain containing a Vgamma2 segment, and a delta chain. This cell type is CD4- negative, CD8-negative and CD24-positive.",CL:0002406,immature Vgamma2-positive thymocyte,Vgamma2-positive thymocyte,broad,1
"A thymocyte that has a T cell receptor consisting of a gamma chain containing Vgamma2 segment, and a delta chain. This cell type is CD4- negative, CD8-negative and CD24-negative. This cell-type is found in the fetal thymus.",CL:0002407,mature Vgamma2-positive thymocyte,Vgamma2-positive,exact,4
